"cat","oldCat","numCat"
"happiness","happiness",1
"resilience","resilience",2
"self-esteem","self-esteem",3
"life satisfaction","life satisfaction",4
"fear of future","fear of future",5
"vitality","vitality",6
"having energy","having energy",7
"positive functioning","positive functioning",8
"expressing job satisfaction","expressing job satisfaction",9
"expressing optimism","expressing optimism",10
"peace with thoughts and feelings","peace with thoughts and feelings",11
"purpose in life","purpose in life",12
"depression","depression",13
"anxiety","anxiety",14
"suffering","suffering",15
"feeling pain","feeling pain",16
"expressing altruism","expressing altruism",17
"loneliness","loneliness",18
"quality of relationships","quality of relationships",19
"belonging to society","belonging to society",20
"expressing gratitude","expressing gratitude",21
"expressing trust","expressing trust",22
"feeling trusted","feeling trusted",23
"balance in the various aspects of own life","balance in the various aspects of own life",24
"mastery (ability or capability)","mastery (ability, capability)",25
"perceiving discrimination","perceiving discrimination",26
"feeling loved by god","feeling loved by god",27
"belief in god","belief in god",28
"religious criticism","religious criticism",29
"spiritual punishment","spiritual punishment",30
"feeling religious comfort","feeling religious comfort",31
"financial or material worry","financial/material worry",32
"life after death belief","life after death belief",33
"volunteering","volunteering",34
"charitable giving or helping","charitable giving/helping",35
"seeking for forgiveness","seeking for forgiveness",36
"feeling having a political voice","feeling having a political voice",37
"expressing government approval","expressing government approval",38
"having hope","having hope",39
"promoting good","promoting good",40
"expressing delayed gratification","expressing delayed gratification",41
"ptsd (post-traumatic stress disorder)","ptsd (post-traumatic stress disorder)",42
"describing smoking related health issues","describing smoking related health issues",43
"describing drinking related health issues","describing drinking related health issues",44
"describing health limitations","describing health limitations",45
"expressing empathy","expressing empathy",46
